Protocol,Measure,Timepoint,2-Hydroxybutyric acid,3-Methyl-2-oxopentanoic acid,4-Methyl-2-oxopentanoic acid,9-Heptadecenoic acid (C17_1n-8t)/10-Heptadecenoic acid (C17_1n-7t),"Adrenic acid (C22_4n-6,9,12,15c)",Alanine,Arachidic acid (C20_0),"Arachidonic acid (C20_4n-6,9,12,15c)",Azelaic acid,Benzoic acid,"bishomo-gamma-Linolenic acid (C20_3n-6,9,12c)",Caffeine,cis-Aconitic acid,cis-Vaccenic acid (C18_1n-7c),Citraconic acid,Citric acid,Creatinine,Cysteine,Decanoic acid (C10_0),"DHA (C22_6n-3,6,9,12,15,18c)",Dodecanoic acid (C12_0),"EPA (C20_5n-3,6,9,12,15c)","gamma-Linolenic acid (C18_3n-6,9,12c)",Glutamic acid,Glycine,Isoleucine,Itaconic acid,Lactic acid,Leucine,"Linoleic acid (C18_2n-6,9c)",Malonic acid,Margaric acid (C17_0),Methionine,Myristic acid (C14_0),Myristoleic acid (C14_1n-5c),Octanoic acid (C8_0),Oleic acid (C18_1n-9c),Ornithine,Palmitic acid (C16_0),Palmitoleic acid (C16_1n-7c),para-Toluic acid,Phenylalanine,Proline,Quinic acid,Stearic acid (C18_0),Threonine,Tyrosine,Valine
HIIT,mean,PRE,0.012436122,0.026932629,0.02609357,0.002934559,0.004650052,0.892274206,0.006970959,0.160371455,0.000359216,0.004161364,0.040720957,0.006104397,0.003897654,0.264146936,0.001487053,0.078134344,0.006213361,0.005917832,0.00938562,0.056819393,0.016585321,0.0256542,0.019367605,0.018655726,0.213590456,0.137894938,0.00122149,0.568173951,0.338533236,0.464885087,0.001018983,0.03390201,0.029218605,0.050661748,0.000621061,0.010409161,0.216195164,0.092382875,0.865837896,0.009751111,0.008262545,0.10363148,0.913006035,0.05338744,0.691581967,0.042959563,0.061941092,0.613790975
HIIT,mean,POST,0.030574033,0.042725723,0.041303368,0.005282248,0.005341839,1.377259235,0.005449697,0.17909058,0.000388111,0.00548226,0.04656972,0.008932125,0.007642405,0.317492725,0.002168771,0.151764911,0.004753043,0.007055098,0.017146808,0.070166237,0.052050808,0.029404747,0.029870407,0.027359842,0.245817673,0.120233435,0.00237971,1.486618605,0.312356188,0.546274443,0.001615896,0.04754801,0.027624518,0.124135995,0.000905976,0.011281294,0.295813323,0.077557786,1.074854405,0.023183206,0.011174301,0.110559934,1.017756372,0.065864963,0.840873685,0.042218589,0.073387529,0.630856269
HIIT,mean,1 H,0.029013662,0.026748983,0.026785592,0.003955102,0.004417966,1.031811903,0.003603728,0.164199726,0.000277805,0.004614205,0.043532557,0.006166503,0.005611235,0.283905644,0.001869966,0.090205599,0.00402225,0.006716085,0.014125818,0.060044787,0.031499776,0.026959832,0.021109162,0.017459965,0.195140609,0.115119752,0.00170703,0.681880341,0.2968823,0.489511242,0.001652048,0.039959726,0.02686636,0.088615336,0.000732525,0.008149095,0.253369214,0.073720066,0.9550916,0.017501413,0.010107285,0.102153378,0.961756829,0.056623383,0.729012459,0.034235087,0.055181748,0.585330142
HIIT,mean,2 H,0.031150633,0.021634455,0.023557012,0.004474391,0.004494145,0.708058689,0.002789238,0.165403109,0.000242421,0.005000644,0.04318522,0.005599819,0.004185571,0.301191774,0.001987121,0.065610102,0.002900636,0.005531962,0.014425822,0.06278463,0.042712745,0.027065532,0.024069107,0.014729632,0.139192487,0.08413878,0.001303099,0.570984846,0.23483856,0.524912853,0.001456048,0.041361557,0.015778078,0.114237736,0.000773301,0.007101901,0.302633757,0.052073816,1.03146902,0.02228102,0.010974312,0.079428749,0.696966238,0.061194841,0.803052093,0.02197633,0.041720851,0.491730794
HIIT,SD,PRE,0.006418305,0.007085053,0.006723271,0.000856357,0.002626541,0.335345707,0.010344933,0.05331987,0.000314157,0.000616881,0.016086383,0.005952388,0.001668903,0.047449081,0.000803395,0.034870864,0.003468476,0.002816132,0.004906036,0.020390423,0.007079328,0.010085993,0.01158834,0.010284676,0.093392801,0.047564745,0.000425779,0.223999421,0.117394737,0.088213318,0.000590068,0.01291983,0.01025773,0.015382689,0.000142017,0.006890214,0.04358681,0.038755226,0.17025408,0.002932498,0.003982023,0.029671422,0.309579791,0.009543467,0.176417001,0.021339858,0.023087439,0.206216056
HIIT,SD,POST,0.008624466,0.010271577,0.00891284,0.001387965,0.001835875,0.185600103,0.006961475,0.052671918,8.61848E-05,0.000928364,0.008809565,0.009534506,0.001933837,0.056102782,0.000978756,0.054513312,0.002279442,0.003762389,0.009069735,0.024605079,0.019854339,0.011405889,0.009543701,0.013497063,0.148473728,0.029272509,0.000789695,0.34439074,0.070312717,0.101187081,0.000938746,0.014082934,0.005782431,0.029522513,0.000151119,0.007744208,0.063716459,0.049020798,0.192942702,0.010201972,0.004212008,0.018931851,0.195681293,0.01307128,0.200926508,0.02438225,0.029606034,0.103695813
HIIT,SD,1 H,0.008915607,0.003290966,0.004189265,0.001219037,0.001412642,0.228388555,0.003537057,0.046440025,5.02291E-05,0.001009205,0.014383157,0.006917984,0.00174027,0.039479438,0.000840252,0.058375582,0.001867532,0.003277807,0.007232427,0.023604655,0.027880434,0.013463709,0.009019354,0.006500941,0.050360089,0.027723035,0.000570938,0.228326928,0.041616271,0.060528288,0.001111957,0.014637836,0.005720045,0.042994695,0.000148962,0.003376425,0.058407609,0.043603719,0.173093452,0.009517828,0.005509845,0.01188462,0.176930725,0.009940253,0.184785085,0.020638523,0.030230074,0.079487359
HIIT,SD,2 H,0.011913122,0.004870026,0.003616232,0.001121965,0.001624824,0.198636944,0.000932755,0.060896177,5.24918E-05,0.001884916,0.011572355,0.006066426,0.001175037,0.06706688,0.000524996,0.034122841,0.001612606,0.002323553,0.009019661,0.020983155,0.025800118,0.010764044,0.007912684,0.007904119,0.031304485,0.019140478,0.000344827,0.269877936,0.042526129,0.129248869,0.000589671,0.011054026,0.004150041,0.047218729,0.000133665,0.002453266,0.073306398,0.030401796,0.241930111,0.009187736,0.006856019,0.017363795,0.170490984,0.022025483,0.285284642,0.013820677,0.018730173,0.079821084
HIIT,pre-post,,1.47496E-05,0.000422184,0.000311476,0.000171316,0.371626126,0.000571572,0.23905915,0.007270211,0.792429708,0.001849863,0.109999269,0.060472024,1.90026E-06,0.010171798,0.014758811,5.98549E-06,0.347462987,0.099890188,0.004369013,0.044330117,0.000577644,0.255712484,0.03478489,0.006483208,0.402969902,0.172482825,4.30617E-05,1.49871E-05,0.385822448,0.013119699,0.010035472,0.001549245,0.566649976,0.000150293,0.000121591,0.462272329,0.000920967,0.245999318,0.000391222,0.000762352,0.048386084,0.2581706,0.220601764,0.015747845,0.002391598,0.928169145,0.01759282,0.738825331
HIIT,pre-1 h,,5.35591E-05,0.926600537,0.771268152,0.054723849,0.703917931,0.24590381,0.165650706,0.780909487,0.449938758,0.326348607,0.502961618,0.911442343,0.00754873,0.27148716,0.114082168,0.468258463,0.073434465,0.124908532,0.022191427,0.551607626,0.119439414,0.722503733,0.691382351,0.667515516,0.432349914,0.117725082,0.021446023,0.172330993,0.252572291,0.437074823,0.077871181,0.309668108,0.465613351,0.028558478,0.073207388,0.111235637,0.126618849,0.112637079,0.251573485,0.030831421,0.209117237,0.845888634,0.560972089,0.466281584,0.604955307,0.213344245,0.431568683,0.64670929
HIIT,pre-2 h,,0.004847406,0.126204703,0.329915269,0.002947248,0.955027698,0.184180255,0.237137521,0.513690897,0.305853647,0.199742733,0.630973403,0.749456422,0.672592349,0.2437128,0.161099757,0.104115363,0.053851019,0.473282295,0.081573816,0.379629698,0.011875374,0.971005789,0.248044761,0.171226867,0.052467649,0.016031187,0.861134823,0.645732618,0.034110306,0.309390542,0.117048647,0.056397811,0.006831487,0.003316288,0.081767428,0.058986866,0.005828396,0.002758701,0.139888673,0.003031197,0.094917945,0.012045522,0.05892299,0.219716796,0.290018968,0.01293707,0.000381785,0.123981424
MOD,mean,PRE,0.014014484,0.027176548,0.026624239,0.00307265,0.004159527,0.923156477,0.005486101,0.154447473,0.000229859,0.004493032,0.040292486,0.005682934,0.004128902,0.270050422,0.001712423,0.065771083,0.006793276,0.006556677,0.009229273,0.055172486,0.017742564,0.028192133,0.016508605,0.017907651,0.172512769,0.151289967,0.001179998,0.549396641,0.380704876,0.473572921,0.001195801,0.031568049,0.027896282,0.053723373,0.000730308,0.00828952,0.242289389,0.080458973,0.898149586,0.010627657,0.009185278,0.109201965,0.937901725,0.062557156,0.675355039,0.035848466,0.059457329,0.694691931
MOD,mean,POST,0.013969228,0.024565769,0.024703473,0.005420347,0.004430167,0.879489305,0.003079947,0.1564174,0.000379463,0.004961518,0.041234311,0.006668638,0.00456715,0.280766324,0.001875562,0.073982429,0.005462097,0.006732724,0.019493353,0.05765559,0.059521574,0.029740277,0.031319192,0.021036979,0.185692072,0.125992681,0.001340096,0.661949933,0.323163814,0.489221363,0.001294606,0.041412072,0.026765243,0.146562873,0.000805922,0.009335398,0.29147364,0.077845045,0.959678727,0.028949053,0.01053261,0.100860715,0.861464458,0.063129156,0.717067974,0.03592771,0.067511433,0.651452783
MOD,mean,1 H,0.022517178,0.021177846,0.02239622,0.003942191,0.004177316,0.666741375,0.002588117,0.153719118,0.000268405,0.004625711,0.040196768,0.005012572,0.003604947,0.26658769,0.001868352,0.061447321,0.003710406,0.006142227,0.012675036,0.055978851,0.034748803,0.027830246,0.020849629,0.016545099,0.138682218,0.089964242,0.001166557,0.473408147,0.257065553,0.463857291,0.001202341,0.037127798,0.017973644,0.095263734,0.000688471,0.007154167,0.254244718,0.061887921,0.917473041,0.017915996,0.010781662,0.081026457,0.685079549,0.058361177,0.709166564,0.023924026,0.051209519,0.545709977
MOD,mean,2 H,0.032300658,0.024507533,0.024081773,0.004333906,0.004369098,0.573036208,0.002398121,0.14344746,0.000216141,0.004018205,0.040863569,0.005409568,0.003681596,0.243209264,0.001624001,0.059796115,0.002965859,0.007043393,0.012982538,0.05638182,0.036911516,0.027210609,0.022218576,0.016847898,0.166632902,0.089715249,0.001241073,0.450027262,0.239280181,0.408158799,0.001089943,0.038715776,0.016491239,0.100266257,0.000696504,0.006459797,0.235012236,0.072656502,0.843843425,0.021760367,0.008406194,0.075241582,0.591217752,0.052974466,0.633386959,0.03170409,0.044867186,0.522285987
MOD,SD,PRE,0.005845048,0.010296961,0.009987774,0.00107331,0.002188099,0.178348826,0.004850008,0.097037405,7.12692E-05,0.001789814,0.016832867,0.005137296,0.001312687,0.124309335,0.000871127,0.036228159,0.002379796,0.004430934,0.003337637,0.034369511,0.009888168,0.014711002,0.007045137,0.011163558,0.072014219,0.03162393,0.000415443,0.240093708,0.069640415,0.211969558,0.000824545,0.015741225,0.009248831,0.024483155,0.000164475,0.003398791,0.125135523,0.054584027,0.43291926,0.005586753,0.005134867,0.038976179,0.17749619,0.026017632,0.364890044,0.02579616,0.034427489,0.111998673
MOD,SD,POST,0.005008956,0.00555918,0.004269655,0.002470034,0.002011445,0.234169404,0.001443534,0.052175704,0.000121209,0.001071428,0.013127508,0.006466205,0.001367881,0.040605772,0.000911985,0.03266975,0.002251708,0.003153584,0.008112082,0.028839524,0.021762247,0.014682338,0.013042573,0.007448745,0.088652827,0.030440715,0.000486416,0.322346548,0.048086039,0.070880899,0.000820465,0.01856248,0.009489912,0.055483549,0.000193546,0.003298091,0.045228053,0.044561047,0.149977667,0.016901777,0.006912072,0.020090704,0.202608318,0.018085314,0.186199684,0.028598613,0.031660881,0.096154551
MOD,SD,1 H,0.009160169,0.002907101,0.003191858,0.001024639,0.001235664,0.113797156,0.00073845,0.04486299,5.63783E-05,0.000652644,0.009659934,0.003875102,0.000838204,0.035378414,0.000696061,0.027889158,0.001689912,0.002492973,0.005395288,0.018016784,0.018262653,0.012761043,0.006481764,0.008741479,0.047972575,0.03038753,0.000238966,0.166277534,0.055554981,0.054176727,0.00072017,0.008589108,0.003685875,0.030455525,0.000108084,0.001990024,0.052589025,0.035246706,0.155001616,0.007355857,0.005071201,0.016767599,0.150554475,0.015186837,0.129971916,0.010550749,0.021121932,0.097890812
MOD,SD,2 H,0.01621447,0.00620666,0.004670439,0.001642666,0.00185603,0.133172098,0.000660279,0.030344244,8.56878E-05,0.00069931,0.00811474,0.004895868,0.000895234,0.031361663,0.000736781,0.026544001,0.00127797,0.003297177,0.0072236,0.019905871,0.021537872,0.008940533,0.00771778,0.009056923,0.107066871,0.020485331,0.00029443,0.169439375,0.039020952,0.050718617,0.000700753,0.011700396,0.005014269,0.039306113,0.000131525,0.002296503,0.046188436,0.044437014,0.109274648,0.013338187,0.004411485,0.013088175,0.136252385,0.005836708,0.093377895,0.025685591,0.019985186,0.066939505
MOD,pre-post,,0.985621515,0.408715411,0.504571131,0.002682744,0.460551053,0.558184108,0.106957585,0.943745534,9.95057E-05,0.449458357,0.83638437,0.199107028,0.26369255,0.810331003,0.457754199,0.339025765,0.19437018,0.858516762,0.000530483,0.699466151,6.28923E-05,0.564022976,0.000427005,0.253665207,0.69664319,0.026292785,0.3135498,0.319012984,0.006079872,0.843663561,0.43879052,0.040360587,0.736555413,0.000109528,0.084364587,0.184842407,0.220508216,0.841828894,0.646432458,0.001329287,0.511377358,0.309421817,0.244096313,0.93407073,0.737456789,0.993814487,0.238928284,0.030055305
MOD,pre-1 h,,0.00749475,0.107486245,0.225580771,0.075501455,0.971859843,0.000539928,0.078861621,0.978553661,0.117405294,0.838693492,0.986200546,0.436665674,0.13980352,0.922572296,0.328572023,0.576926823,0.001344289,0.648719709,0.068984327,0.928973462,0.005895067,0.92568432,0.120930787,0.546517739,0.210542521,0.000103867,0.897589332,0.268953879,0.0002137,0.873394641,0.954006521,0.333913435,0.005856217,0.004608207,0.261657114,0.205940402,0.731218637,0.099515857,0.874701185,0.01389281,0.449867165,0.034091616,0.001736779,0.552589784,0.749015877,0.083986646,0.266422281,0.00059897
MOD,pre-2 h,,0.002657818,0.517382204,0.474392669,0.032623841,0.675665757,0.001309431,0.071106005,0.685800351,0.711240533,0.472361306,0.912029867,0.712493024,0.277058044,0.468737245,0.547457285,0.561091947,0.001771742,0.703646758,0.137183268,0.879286011,0.004867317,0.751385187,0.03444844,0.697825986,0.891399226,0.000419751,0.688324272,0.252902891,5.42539E-05,0.310949689,0.132343469,0.135320159,0.016902647,0.007513567,0.356318674,0.079829991,0.840255808,0.693284877,0.663030903,0.014182968,0.660140475,0.025247041,0.000802579,0.273186762,0.69198088,0.714690391,0.157097194,0.000261545
